Source,Target,Weight
Sheep,Women,1
Shepherds,Bagpipes,1
Shepherds,Sheep,1
Shields,Boys,2
Shields,Children,1
Shields,Cross,1
Shields,Madonna and Child,1
Shields,Men,1
Shields,Spears,1
Ships,Maps,1
Singing,Monks,1
Skeletons,Lovers,1
Skeletons,Men,2
Skeletons,Skulls,1
Skeletons,Women,1
Skulls,Christ,2
Skulls,Crucifixion,1
Skulls,Men,1
Skulls,Virgin Mary,1
Skulls,Women,1
Snakes,Adam,3
Snakes,Deer,1
Snakes,Eve,3
Snakes,God the Father,1
Snakes,Griffins,1
Snakes,Lions,1
Snakes,Ox,1
Snakes,Rams,1
Soldiers,Angels,1
Soldiers,Christ,5
Soldiers,Cross,1
Soldiers,Crowd,1
Soldiers,Griffins,1
Soldiers,Jesus,3
Soldiers,Judas,2
Soldiers,Madonna and Child,1
Soldiers,Men,10
Soldiers,Sadness,1
Soldiers,Saint John the Evangelist,1
Soldiers,Shields,2
Soldiers,Spears,1
Soldiers,Swords,3
Soldiers,Virgin Mary,2
Soldiers,Women,1
Spears,David,1
Spears,Deer,1
Spears,Dogs,1
Spears,Hunting,1
Spears,Madonna and Child,1
Spears,Men,1
Spears,Profiles,1
Spears,Swords,1
Spears,Women,1
Stars,Angels,1
Stars,Cross,2
Stars,Emblems,1
Sun,Flowers,1
Swords,Andromeda,1
Swords,Horses,1
Swords,Jesus,1
Swords,Kings,1
Swords,Madonna and Child,1
Swords,Men,9
Swords,Saint Paul,1
Swords,Saints,1
Swords,Women,3
Tables,Herod,1
Temples,Men,1
Tents,Maps,1
Tents,Ships,1
Tombs,Angels,1
Tombs,Apostles,1
Tombs,Saints,1
Tombs,Virgin Mary,1
Tombs,Women,3
Towers,Women,1
Trees,Animals,1
Trees,Bow and Arrow,1
Trees,Deer,1
Trees,Men,2
Trees,Rams,1
Trees,Women,1
Trojan War,Andromache,1
Trojan War,Horses,1
Trojan War,Tents,1
Trumpets,Angels,2
Trumpets,Elephants,1
Trumpets,Roosters,1
Unicorns,Deer,2
Unicorns,Dogs,2
Unicorns,Elephants,2
Unicorns,Games,1
Unicorns,Goats,1
Unicorns,Horses,1
Unicorns,Knights,1
Unicorns,Lions,1
Vines,Human Figures,1
Violins,Apocalypse,1
Virgin Mary,Adam,1
Virgin Mary,Adoration of the Magi,8
Virgin Mary,Angels,2
Virgin Mary,Animals,1
Virgin Mary,Annunciation,7
Virgin Mary,Apostles,4
Virgin Mary,Archangel Gabriel,4
Virgin Mary,Bearing the Cross,1
Virgin Mary,Birds,3
Virgin Mary,Birth,1
Virgin Mary,Camels,1
Virgin Mary,Cats,1
Virgin Mary,Christ,5
Virgin Mary,Coronation of the Virgin,2
Virgin Mary,Cows,1
Virgin Mary,Cross,3
Virgin Mary,Crucifixion,23
Virgin Mary,Death of the Virgin,1
Virgin Mary,Descent from the Cross,1
Virgin Mary,Dogs,2
Virgin Mary,Donkeys,4
Virgin Mary,Doves,1
Virgin Mary,Elephants,1
Virgin Mary,Entombment,2
Virgin Mary,Evangelists,2
Virgin Mary,Hell,1
Virgin Mary,Horses,1
Virgin Mary,Jesus,9
Virgin Mary,Judas,1
Virgin Mary,Lamentation,1
Virgin Mary,Last Judgement,3
Virgin Mary,Lions,1
Virgin Mary,Madonna and Child,3
Virgin Mary,Mary Magdalene,2
Virgin Mary,Men,9
Virgin Mary,Moses,1
Virgin Mary,Nativity,3
Virgin Mary,Noah,1
Virgin Mary,Owls,1
Virgin Mary,Ox,1
Virgin Mary,Putti,1
Virgin Mary,Reliquaries,2
Virgin Mary,Saint Anne,2
Virgin Mary,Saint John,3
Virgin Mary,Saint John the Baptist,5
Virgin Mary,Saint John the Evangelist,5
Virgin Mary,Saint Joseph,3
Virgin Mary,Saint Paul,1
Virgin Mary,Saint Peter,1
Virgin Mary,Saints,10
Virgin Mary,Soldiers,1
Virgin Mary,Tabernacles,1
Virgin Mary,Temples,1
Virgin Mary,Unicorns,1
Virgin Mary,Visitation,3
Virgin Mary,Women,3
Visitation,Angels,1
Visitation,Men,1
Visitation,Saints,1
Visitation,Virgin Mary,5
Warriors,David,1
Warriors,Spears,1
Weapons,Couples,1
Weapons,Dragons,1
Weapons,Flowers,1
Weapons,Hunting,1
Weapons,Male Nudes,1
Weapons,Men,4
Weapons,Women,1
Wells,Christ,1
Wells,Women,1
Wine,Grapes,1
Wine,Jesus,1
Women,Allegory,1
Women,Andromache,1
Women,Andromeda,1
Women,Angels,5
Women,Annunciation,1
Women,Armor,1
Women,Assumption of the Virgin,1
Women,Bagpipes,1
Women,Baptismal Fonts,1
Women,Bedrooms,1
Women,Beds,1
Women,Birds,1
Women,Bishops,1
Women,Boars,1
Women,Castles,1
Women,Chariots,1
Women,Chess,2
Women,Christ,11
Women,Coat of Arms,3
Women,Cornucopia,2
Women,Coronation of the Virgin,1
Women,Cows,1
Women,Cross,10
Women,Crucifixion,5
Women,Dancing,1
Women,David,2
Women,Death,3
Women,Deer,5
Women,Descent from the Cross,3
Women,Diana,1
Women,Dogs,10
Women,Donkeys,2
Women,Dragons,3
Women,Eagles,2
Women,Elephants,1
Women,Entombment,2
Women,Eve,1
Women,Flowers,2
Women,Hercules,1
Women,Herod,1
Women,Horns,2
Women,Horses,6
Women,Hunting,2
Women,Jesus,1
Women,Joshua,1
Women,Juno,1
Women,Knights,2
Women,Last Supper,1
Women,Lions,1
Women,Madonna and Child,4
Women,Men,11
Women,Monkeys,1
Women,Moses,2
Women,Music,1
Women,Musicians,1
Women,Noah,1
Women,Pegasus,1
Women,Pilate,1
Women,Queens,1
Women,Rabbits,1
Women,Roosters,1
Women,Roses,1
Women,Saint Catherine,1
Women,Saint Francis,1
Women,Saint George,1
Women,Saints,7
Women,Sheep,1
Women,Shepherds,1
Women,Skeletons,1
Women,Skulls,1
Women,Soldiers,1
Women,Swords,1
Women,Tables,1
Women,Trees,2
Women,Trojan War,1
Women,Trumpets,1
Women,Unicorns,1
Women,Virgin Mary,5
Women,Visitation,2
Women,Working,1
Wreaths,Cross,1
Writing,Lions,1
Writing,Monks,1
Writing,Tables,1
Zodiac,Calendars,1
Zodiac,Games,1
